id,dayNumber,durationMinutes,attenuationRiskValue,initialRiskLevel,totalRiskValue,api_level,android_version,brand,model,user_id,timestamp,contact_date
4958,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
4990,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
5022,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
5054,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
5096,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
5128,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
5160,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
5192,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
5224,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:58,11/23/2020 0:00
5266,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:59,11/23/2020 0:00
5298,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:59,11/23/2020 0:00
5330,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:59,11/23/2020 0:00
5362,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:59,11/23/2020 0:00
5394,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 7:59,11/23/2020 0:00
5451,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 8:00,11/23/2020 0:00
5483,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 8:00,11/23/2020 0:00
5515,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 8:00,11/23/2020 0:00
5547,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 8:00,11/23/2020 0:00
5579,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/2/2020 8:00,11/23/2020 0:00
7640,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/3/2020 1:06,11/23/2020 0:00
7672,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/3/2020 1:06,11/23/2020 0:00
7704,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/3/2020 1:06,11/23/2020 0:00
7736,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/3/2020 1:06,11/23/2020 0:00
7768,18589,30,28,2,280,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/3/2020 1:06,11/23/2020 0:00
7955,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/4/2020 7:58,11/23/2020 0:00
7965,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/4/2020 7:58,11/23/2020 0:00
7975,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/4/2020 7:59,11/23/2020 0:00
8122,18589,30,28,2,210,29,10,HUAWEI,LIO-L29,4179b801a26f7905,12/4/2020 9:20,11/23/2020 0:00
